interval,Open,High,Low,Close,Volume
2024-12-31 21:15:00,14701300.0,14726025.0,14687520.0,14699381.0,3.5500000000000003
2024-12-31 21:30:00,14705000.0,14729030.0,14694118.0,14699963.0,4.92
2024-12-31 21:45:00,14696401.0,14757711.0,14695641.0,14750000.0,1.28
2024-12-31 22:00:00,14750673.0,14750674.0,14717550.0,14731800.0,1.98
2024-12-31 22:15:00,14726929.0,14731236.0,14710000.0,14721776.0,3.43
2024-12-31 22:30:00,14724578.0,14732769.0,14692000.0,14715939.0,1.8
2024-12-31 22:45:00,14717079.0,14729135.0,14695173.0,14725643.0,1.02
2024-12-31 23:00:00,14728098.0,14728676.0,14662359.0,14681287.0,3.09
2024-12-31 23:15:00,14676595.0,14720239.0,14665881.0,14710395.0,1.93
2024-12-31 23:30:00,14704944.0,14726545.0,14699542.0,14720455.0,1.54
2024-12-31 23:45:00,14721674.0,14722846.0,14678332.0,14683000.0,2.88
2025-01-01 00:00:00,14689458.0,14717754.0,14679801.0,14697165.0,1.6400000000000001
2025-01-01 00:15:00,14696365.0,14714856.0,14678938.0,14703015.0,3.04
2025-01-01 00:30:00,14698946.0,14742385.0,14698946.0,14724915.0,5.91
2025-01-01 00:45:00,14731118.0,14763570.0,14728254.0,14758260.0,10.05
2025-01-01 01:00:00,14751737.0,14853524.0,14748814.0,14839468.0,32.11
2025-01-01 01:15:00,14837131.0,14842040.0,14764441.0,14807278.0,15.540000000000001
2025-01-01 01:30:00,14808541.0,14808541.0,14757318.0,14765930.0,5.63
2025-01-01 01:45:00,14761786.0,14785086.0,14759883.0,14778320.0,8.33
2025-01-01 02:00:00,14776855.0,14785606.0,14725444.0,14735250.0,8.23
2025-01-01 02:15:00,14733944.0,14752954.0,14729041.0,14744023.0,7.2
2025-01-01 02:30:00,14743029.0,14745280.0,14713033.0,14719258.0,3.95
2025-01-01 02:45:00,14724394.0,14752653.0,14724394.0,14752653.0,0.9400000000000001
2025-01-01 03:00:00,14756379.0,14781270.0,14753362.0,14781270.0,2.95
2025-01-01 03:15:00,14782393.0,14782394.0,14750266.0,14760620.0,2.7600000000000002
2025-01-01 03:30:00,14756047.0,14756047.0,14724285.0,14737201.0,2.7
2025-01-01 03:45:00,14738031.0,14748230.0,14733494.0,14742208.0,2.02
2025-01-01 04:00:00,14743700.0,14746460.0,14717347.0,14727802.0,1.76
2025-01-01 04:15:00,14727210.0,14728799.0,14708214.0,14708452.0,0.99
2025-01-01 04:30:00,14710838.0,14723009.0,14707254.0,14719535.0,0.38
2025-01-01 04:45:00,14719522.0,14719522.0,14700000.0,14707950.0,0.53
2025-01-01 05:00:00,14705367.0,14710036.0,14685975.0,14691000.0,1.05
2025-01-01 05:15:00,14690040.0,14707013.0,14688107.0,14702142.0,0.86
2025-01-01 05:30:00,14698203.0,14756582.0,14698203.0,14743467.0,4.46
2025-01-01 05:45:00,14750883.0,14751673.0,14723259.0,14731959.0,1.49
2025-01-01 06:00:00,14730000.0,14741605.0,14720913.0,14721119.0,1.66
2025-01-01 06:15:00,14717651.0,14719647.0,14699465.0,14704880.0,1.32
2025-01-01 06:30:00,14704881.0,14720000.0,14704833.0,14714205.0,2.9499999999999997
2025-01-01 06:45:00,14709583.0,14724994.0,14699249.0,14721481.0,1.2
2025-01-01 07:00:00,14724994.0,14730222.0,14719263.0,14725983.0,1.87
2025-01-01 07:15:00,14724185.0,14726000.0,14712212.0,14716565.0,1.24
2025-01-01 07:30:00,14717485.0,14734535.0,14717485.0,14734535.0,0.41
2025-01-01 07:45:00,14732274.0,14740833.0,14726769.0,14733762.0,0.55
2025-01-01 08:00:00,14734374.0,14739239.0,14722022.0,14726191.0,0.79
2025-01-01 08:15:00,14730881.0,14737917.0,14723901.0,14733333.0,2.0300000000000002
2025-01-01 08:30:00,14734818.0,14734818.0,14668041.0,14688130.0,2.43
2025-01-01 08:45:00,14688522.0,14705227.0,14680975.0,14699238.0,3.03
2025-01-01 09:00:00,14698882.0,14707748.0,14674287.0,14691076.0,2.3000000000000003
2025-01-01 09:15:00,14692188.0,14698374.0,14653649.0,14664629.0,3.72
2025-01-01 09:30:00,14665690.0,14672711.0,14600000.0,14638629.0,9.82
2025-01-01 09:45:00,14639110.0,14665056.0,14616347.0,14634673.0,3.7800000000000002
2025-01-01 10:00:00,14633484.0,14679321.0,14626658.0,14674961.0,1.48
2025-01-01 10:15:00,14677551.0,14694923.0,14667583.0,14672886.0,1.83
